244	1551.7	1554.8	61	46.385	13	8.228	15	0	387	2.13	35.8	95	55	0.8	0.95	60.6	1
248	1678.3	1680.5	56.29	21.4	10	6.63	12	0	363	2.18	32.37	95	55	0.8	0.83	60.6	1
252	1719	1725	65.551	39.772	10.48	7.176	12	0	352	2.208	31	95	55	0.8	1.06	60.6	1
272	1721.9	1728	59.11	29.757	6.84	4.248	0	5.98	407	0	0	90	58	0.8	0.83	52	1
273	1750.3	1754	40.117	27.47	12.26	6.8	0	9.9	384	0	0	90	58	0.8	0.24	52	1
4	1632.13	1638.2	67.5	68.039	6.8	4.4	7	0	375	2.094	29.97	87	50	0.8	1.27	82	2
12	1770.5	1780.38	56.6	66.145	5.13	4.205	6.2	0	371.5	2.17	28.48	87	50	0.8	0.98	82	2
21	1575	1579.13	61	37	7	7.09	8	0	368	2.16	32.3	87	62	0.8	0.76	60	2
31	1682	1685	59	29.5	5.4	5.84	6.1	0	356	2.22	33.34	87	62	0.8	0.68	60	2
39	1760.75	1765	60.54	29.291	6.2	7.4	8.5	0	341	2.28	29.984	87	62	0.8	0.74	60	2
42	1785	1789	58	25.2	5.4	6.5	6.2	0	350	2.23	34.27	87	62	0.8	0.64	60	2
48	1557.88	1568.13	52	61.223	7.8	4.84	10.4	0	354	2.16	32.1	85	48	0.8	0.91	68	2
62	1758.5	1763	65.922	49.954	7.74	6.4	10.57	0	348.96	2.24	28.426	85	48	0.8	1.28	68	2
64	1777	1782	59.307	51.235	5.937	5.562	7.258	0	332.4	2.22	32.216	85	48	0.8	1.11	68	2
70	1718.5	1723	74	50.94	4.2	4.38	4.95	0	377	2.16	36.24	86	60	0.8	1.34	58	2
74	1788	1800	63.6	58.29	5.7	5.1	7.4	0	367.84	2.12	34.26	86	60	0.8	0.94	58	2
76	1824.1	1827.5	62.36	57.07	6.58	5.78	8	0	362.34	2.14	31.258	86	60	0.8	0.89	58	2
122	1518.5	1521.3	64	70.19	7.1	7.604	9.2	0	335	2.23	23.67	100	64	0.8	0.8	68	2
126	1553	1557	69	68	7.2	6.05	9.6	0	398	2.14	31.9	100	64	0.8	0.94	68	2
127	1564.1	1568	67.6	67	7.8	9.7	9.8	0	362	2.11	30.84	100	64	0.8	0.9	68	2
128	1587	1590.9	58	68.66	8.5	5	10.5	0	378	2.11	32.1	100	64	0.8	0.63	68	2
137	1682	1685	65	63	9.2	10	12	0	330	2.3	27.61	100	64	0.8	0.83	68	2
139	1697	1703	70.07	67.55	6	5.68	8	0	355	2.2	29.11	100	64	0.8	0.97	68	2
140	1706.4	1710.4	64.3	67	4.92	4.4	5.9	0	381	2.17	29.55	100	64	0.8	0.81	68	2
144	1753	1754.5	55	60.23	7.9	10.292	8.7	0	346	2.239	25.47	100	64	0.8	0.55	68	2
146	1764	1773.7	59.18	53.48	6.9	8.6	9.2	0	347	2.22	27.439	100	64	0.8	0.67	68	2
149	1567.9	1569.25	65.72	51.8	7.17	5.28	7.8	0	367.2	2.14	29.23	100	52	0.8	1.09	60	2
150	1570.75	1581.885	57.58	59.727	6.539	4.716	7.4	0	352	2.102	28.406	100	52	0.8	0.92	60	2
151	1586	1595	59.109	60.123	7.324	4.935	8	0	347.62	2.093	29.01	100	52	0.8	0.95	60	2
164	1758.13	1761.5	66	51.87	5.15	3.9	5.8	0	368.37	2.15	28.87	100	52	0.8	1.09	60	2
167	1796.2	1798.3	57.949	54.786	7.18	5	8	0	360.37	2.08	31.612	100	52	0.8	0.92	60	2
172	1879.25	1885.5	58.29	49.76	5.947	4.784	6.2	0	369.87	2.152	26.97	100	52	0.8	0.93	60	2
175	1560	1562.5	75	24	8.9	2.249	10	0	392	2.29	29.46	90	55	0.8	1.37	33	2
176	1564	1573	64	21	7.5	2.765	8.4	0	423	2.16	24.65	90	55	0.8	1.06	33	2
180	1607	1610.5	64.61	16.85	7.2	2.51	8.5	0	378	2.2	30.953	90	55	0.8	1.07	33	2
184	1644.5	1647	66	19.8	8.5	2.836	9	0	359	2.17	30.98	90	55	0.8	1.11	33	2
186	1657	1664	56	19	8.2	2.8	8.7	0	354	2.15	25.226	90	55	0.8	0.83	33	2
187	1686	1691.5	58	19	6.86	1.956	7.5	0	356	2.14	28.1	90	55	0.8	0.89	33	2
214	2263.9	2274.8	73	22	6.2	7.11	8.3	7.38	369	2.22	23.43	97	63	0.8	1.09	45	2
217	2302	2324	71.84	20.26	6	7.034	8.576	7.953	364	2.202	22.39	97	63	0.8	1.06	45	2
225	1558.6	1564.9	62.4	62.62	5.02	4.526	6.4	4.86	344	2.29	33.149	85	47	0.8	1.21	74	2
229	1675.6	1681.9	53.913	60.36	7	5	7.5	6.06	408.9	2.17	34	85	47	0.8	0.98	74	2
230	1686.3	1689.9	46.91	59.21	5.424	4.467	6.02	5.02	391.32	2.18	34.78	85	47	0.8	0.8	74	2
242	1738	1741	58.15	22	8	6.02	8.5	7.07	387	2.18	33.05	90	58	0.8	0.8	60.3	2
245	1561	1566.1	59.12	47.3	7.871	5.637	8.2	0	362	2.158	32	95	55	0.8	0.9	60.6	2
247	1625.1	1630.6	62.7	45.46	7.66	5.62	9.2	0	380.5	2.16	36.87	95	55	0.8	0.99	60.6	2
249	1682.6	1688	57.3	39.015	7.519	5.775	8	0	357.7	2.16	31.83	95	55	0.8	0.86	60.6	2
250	1691.5	1695.1	69.875	43.9	7.535	5.674	8	0	342.68	2.235	30.859	95	55	0.8	1.17	60.6	2
251	1708.6	1714	66.465	42.72	7.71	5.474	8.5	0	360	2.152	34	95	55	0.8	1.09	60.6	2
253	1723	1728	57	43.19	7.6	5.584	8.5	0	351.56	2.2	34.8	95	55	0.8	0.85	60.6	2
254	1732.4	1737	60.805	44	7.5	5.75	8.5	0	368	2.154	33.14	95	55	0.8	0.95	60.6	2
257	1581	1595	62	62.08	8.6	6.45	10.7	0	372	2.088	32.57	91	55	0.8	0.99	72	2
258	1643.6	1649	67.8	59.39	5.695	5.38	7.2	0	371	2.12	32.8	91	55	0.8	1.16	72	2
259	1530.7	1533.9	63.63	69.78	5.5	4.684	6.13	0	371.9	2.112	33.9	95	50	0.8	1.1	77	2
260	1544.6	1549.4	56	70.1	6.5	5.54	8.112	0	367	2.13	28.43	95	50	0.8	0.93	77	2
261	1564.4	1576.5	56.5	69.2	6.48	5.86	7.5	0	378.7	2.088	33	95	50	0.8	0.94	77	2
263	1606.1	1616.5	51.4	68.6	5.8	4.6	6.6	0	360	2.1	29.5	95	50	0.8	0.83	77	2
264	1669.2	1687.6	54.8	68	6.308	5.828	7.2	0	373	2.061	33.607	95	50	0.8	0.91	77	2
265	1764.5	1774.5	36.95	67.3	5.2	4.56	6	0	370	2.11	30	95	50	0.8	0.51	77	2
266	1791.9	1808.3	57.7	65.16	4.8	4.5	5.5	0	353	2.15	30.64	95	50	0.8	0.97	77	2
268	1654.9	1659.7	51.422	33.8	6.46	4.74	0	5.93	387	0	0	90	58	0.8	0.59	52	2
269	1666	1673.8	56.3	33	5.74	4.035	0	5.7	377	0	0	90	58	0.8	0.75	52	2
270	1677.9	1683.9	69.84	35.86	5.31	3.784	0	4.86	392	0	0	90	58	0.8	1.17	52	2
271	1698.2	1703.8	53.4	25.91	6.66	4.47	0	5.86	390	0	0	90	58	0.8	0.66	52	2
275	1773	1782	69	30.42	7.81	5.15	0	6.727	350	0	0	90	58	0.8	1.14	52	2
1	1585.88	1597.13	59.55	71.521	5.95	4.8	7.2	0	372.4	2.15	25	87	50	0.8	1.06	82	0
2	1597.13	1607.5	57.71	74.139	6.54	5.08	8.3	0	372.25	2.17	23.888	87	50	0.8	1.01	82	0
3	1616.63	1627.8	60.847	70.256	5.7	4.84	7.6	0	377.16	2.101	29.764	87	50	0.8	1.09	82	0
5	1638.2	1645.88	67.28	69	4.96	4.39	6.92	0	380.05	2.091	29.1	87	50	0.8	1.27	82	0
6	1649	1665.38	58.53	70.03	5.07	4.16	6.3	0	355.8	2.214	23.207	87	50	0.8	1.03	82	0
7	1685.88	1693.5	64.419	65.94	4.094	3.506	5.189	0	378.1	2.11	30.419	87	50	0.8	1.19	82	0
8	1701	1721.63	55	68.725	4.97	4.49	6.04	0	382.4	2.11	27.17	87	50	0.8	0.94	82	0
9	1726.38	1745.88	56.5	70.019	5.48	4.918	6.85	0	379.83	2.2	27.66	87	50	0.8	0.98	82	0
10	1748	1753.5	52.66	70.229	4.72	4.336	6.3	0	380.337	2	27.21	87	50	0.8	0.87	82	0
11	1757.25	1761.63	55.17	70.695	4.45	4.119	5.96	0	369.9	2.13	27.33	87	50	0.8	0.94	82	0
