dept	den	cnl
1749.375	2.56776	19.0529
1749.5	2.561	17.0745
1749.625	2.5627	16.2
1749.75	2.57772	16.3724
1749.875	2.59375	19.5938
1750	2.58767	24.0327
1750.125	2.57175	28.3954
1750.25	2.55463	31.8741
1750.375	2.545	33.9926
1750.5	2.544	34.8939
1750.625	2.546	35.1
1750.75	2.548	34.8518
1750.875	2.55298	34.1534
1751	2.55999	33.2
1751.125	2.5695	32.8994
1751.25	2.57649	31.9
1751.375	2.56797	32.0516
1751.5	2.56448	31.9478
1751.625	2.564	31.4942
1751.75	2.56546	30.8465
1751.875	2.56292	30.4
1752	2.55445	30.5
1752.125	2.54989	30.8109
1752.25	2.548	31.1
1752.375	2.54957	31.1567
1752.5	2.553	31.2426
1752.625	2.55258	30.7
1752.75	2.55559	30.9586
1752.875	2.56059	31.6778
1753	2.5626	32.7797
1753.125	2.56339	33.8816
1753.25	2.55839	34.9612
1753.375	2.55438	35.3618
1753.5	2.55238	35.6
1753.625	2.552	35.1738
1753.75	2.55427	34.4725
1753.875	2.55936	33.9
1754	2.55635	33.8
1754.125	2.55134	33.7343
1754.25	2.54834	32.8348
1754.375	2.54867	30.9984
1754.5	2.55335	28.8621
1754.625	2.56136	27.0318
1754.75	2.56938	26.6311
1754.875	2.57469	26.6695
1755	2.5797	26.3597
1755.125	2.58471	25.1462
1755.25	2.588	23.6
1755.375	2.58656	23.7161
1755.5	2.57855	25.1181
1755.625	2.57253	26.22
1755.75	2.569	26.8
1755.875	2.57049	26.4508
1756	2.57775	25.6743
1756.125	2.58376	24.6241
1756.25	2.58423	24.4765
1756.375	2.57669	25.3086
1756.5	2.56389	27.089
1756.625	2.54908	29.4275
1756.75	2.53242	32.4954
1756.875	2.52641	34.6391
1757	2.5242	35.3804
1757.125	2.523	35.057
1757.25	2.52382	33.8735
1757.375	2.52847	32.3709
1757.5	2.53832	30.9196
1757.625	2.55451	27.8316
1757.75	2.57037	25.2791
1757.875	2.5837	23.9152
1758	2.59171	23.9419
1758.125	2.59786	25.5444
1758.25	2.6	27.2735
1758.375	2.59813	27.6874
1758.5	2.59312	27.224
1758.625	2.58823	26.6113
1758.75	2.58211	26.5572
1758.875	2.5772	28.2296
1759	2.56728	30.9435
1759.125	2.54653	33.5385
1759.25	2.52633	35.8593
1759.375	2.51408	37.3
1759.5	2.50827	37.0412
1759.625	2.49181	34.5498
1759.75	2.42301	30.9559
1759.875	2.29298	28.0297
1760	2.1122	26.8957
1760.125	1.92417	27.778
1760.25	1.79803	30.1818
1760.375	1.79288	32.488
1760.5	1.90637	33.6965
1760.625	2.05459	34.4978
1760.75	2.19386	35.2995
1760.875	2.28396	35.6998
1761	2.37811	35.9
1761.125	2.45118	35.3989
1761.25	2.50418	34.3929
1761.375	2.53605	32.7904
1761.5	2.545	30.8787
1761.625	2.54504	27.9742
1761.75	2.56022	25.474
1761.875	2.5711	23.6801
1762	2.576	22.4888
1762.125	2.578	21.9
1762.25	2.57793	21.7069
1762.375	2.57392	21.9075
1762.5	2.56992	22.3082
1762.625	2.56591	22.7088
1762.75	2.56291	23.0095
1762.875	2.5619	23.2
1763	2.55679	23.2893
1763.125	2.54366	22.7886
1763.25	2.53476	22.388
1763.375	2.52987	22.3
1763.5	2.52687	22.4
1763.625	2.52286	22.5861
1763.75	2.51785	22.2854
1763.875	2.518	21.7848
1764	2.52448	21.8159
1764.125	2.5365	22.4495
1764.25	2.548	23.6515
1764.375	2.54782	24.8356
1764.5	2.53963	25.2184
1764.625	2.53481	25.1809
1764.75	2.532	24.6606
1764.875	2.52859	23.7593
1765	2.52137	22.879
1765.125	2.50835	22.4784
1765.25	2.49511	22.7223
1765.375	2.48331	23.1
1765.5	2.47847	23.3236
1765.625	2.48473	23.5242
1765.75	2.4965	23.8248
1765.875	2.50325	24.5255
1766	2.50626	25.0261
1766.125	2.50827	25.2
1766.25	2.51255	25.0726
1766.375	2.51956	24.5878
1766.5	2.52786	22.9852
1766.625	2.53759	20.2947
1766.75	2.5525	17.3602
1766.875	2.56792	14.7163
1767	2.57569	13.225
1767.125	2.56904	14.9595
1767.25	2.54937	17.0952
1767.375	2.53367	18.4995
1767.5	2.52566	18.6662
1767.625	2.52903	17.8966
1767.75	2.5414	16.6298
1767.875	2.55843	15.8643
1768	2.57209	16.1364
1768.125	2.58374	17.3481
1768.25	2.58762	20.452
1768.375	2.58185	25.1597
1768.5	2.56805	29.7116
1768.625	2.54223	32.5771
