dep	LLD	HAC	gr	sp	rmn	rmg
1361.75	2.364	331.918	142.22	67.918	1.949	1.892
1361.875	2.279	375.26	141.823	67.932	1.821	1.771
1362	2.112	364.223	141.559	67.937	1.735	1.71
1362.125	1.941	351.794	141.786	67.927	1.564	1.529
1362.25	2.208	306.793	141.676	67.89	1.692	1.771
1362.375	2.335	324.44	138.451	67.851	1.949	1.892
1362.5	2.654	252.022	130.593	67.782	2.505	2.647
1362.625	2.813	284.44	124.381	67.737	2.933	3.07
1362.75	3.175	324.21	116.996	67.685	2.676	2.647
1362.875	3.089	338.515	115.577	67.668	2.505	2.436
1363	2.99	300.261	115.315	67.675	2.377	2.164
1363.125	2.986	294.978	116.317	67.7	2.419	2.224
1363.25	2.909	341.235	118.26	67.76	2.462	2.405
1363.375	2.879	336.521	119.179	67.807	2.377	2.284
1363.5	2.757	292.605	120.517	67.881	2.291	2.194
1363.625	2.668	323.808	120.437	67.926	2.12	2.043
1363.75	2.692	333.132	119.769	67.984	2.035	1.952
1363.875	2.783	318.736	118.625	68.014	2.077	1.982
1364	2.872	294.183	117.3	68.047	2.676	2.859
1364.125	2.822	302.101	117.749	68.061	2.762	2.979
1364.25	2.854	349.949	119.603	68.07	2.719	3.07
1364.375	2.705	385.028	121.974	68.07	2.077	2.224
1364.5	2.341	306.439	126.395	68.063	1.906	1.861
1364.625	2.152	316.037	128.696	68.053	2.035	2.043
1364.75	2.278	332.193	129.894	68.034	1.992	2.103
1364.875	2.28	349.09	129.8	68.019	1.992	2.284
1365	2.253	330.805	129.089	67.993	1.992	2.224
1365.125	2.286	345.525	127.742	67.975	2.12	2.133
1365.25	2.845	365.015	124.363	67.949	2.077	1.952
1365.375	3.149	337.184	121.096	67.936	2.248	2.012
1365.5	3.332	206.929	115.618	67.925	3.403	2.798
1365.625	3.356	249.867	113.704	67.926	4.302	4.369
1365.75	3.35	342.469	114.207	67.941	2.591	2.556
1365.875	3.135	339.66	116.309	67.959	2.419	2.315
1366	2.665	301.746	119.804	67.995	1.992	2.012
1366.125	2.719	283.429	120.822	68.022	1.992	2.043
1366.25	2.754	312.06	119.648	68.061	1.992	2.012
1366.375	2.74	318.131	118.987	68.082	1.992	2.012
1366.5	2.613	332.086	121.151	68.103	1.992	2.043
1366.625	2.585	326.366	122.742	68.111	1.906	1.922
1366.75	2.507	297.408	125.836	68.117	1.906	1.952
1366.875	2.417	314.006	127.221	68.12	1.863	1.952
1367	2.218	339.894	127.453	68.123	1.863	1.922
1367.125	2.288	337.72	130.001	68.126	1.821	1.892
1367.25	2.488	319.747	135.615	68.128	2.035	2.133
1367.375	2.46	290.393	138.044	68.129	2.462	2.949
1367.5	2.436	341.894	136.091	68.127	2.077	2.405
1367.625	2.494	377.93	131.506	68.126	1.821	1.771
1367.75	2.4	339.824	125.715	68.127	1.821	1.892
1367.875	2.237	327.118	124.603	68.134	1.821	2.012
1368	2.321	338.548	125.884	68.156	1.906	1.922
1368.125	2.396	345.293	126.938	68.18	1.992	1.952
1368.25	2.412	337.923	126.484	68.223	1.949	1.952
1368.375	2.424	334.267	126.325	68.244	1.906	1.892
1368.5	2.473	358.655	127.888	68.244	1.863	1.831
1368.625	2.466	352.126	129.908	68.212	1.863	1.831
1368.75	2.538	305.147	132.063	68.115	2.12	2.073
1368.875	2.584	300.683	130.933	68.031	2.035	2.012
1369	2.576	319.165	127.404	67.898	1.949	1.892
1369.125	2.452	362.189	125.832	67.818	1.863	1.831
1369.25	2.247	394.157	126.741	67.677	1.778	1.801
1369.375	2.027	375.441	128.015	67.63	1.65	1.741
1369.5	1.667	303.646	125.822	67.198	1.564	1.771
1369.625	1.772	309.312	119.703	66.642	1.65	1.771
1369.75	2.583	349.797	106.182	65.401	3.78801	3.49301
1369.875	3.288	256.631	97.75	64.372	8.36501	8.44901
1370	4.597	241.48	89.561	62.739	9.26399	9.44599
1370.125	5.537	260.19	87.651	61.684	7.467	7.331
1370.25	6.56	291.009	86.263	60.309	5.92699	6.57499
1370.375	6.461	293.716	84.211	59.638	5.243	4.792
1370.5	6.69	252.462	80.229	59.113	9.178	8.84201
1370.625	7.081	253.191	78.997	59.093	9.991	10.443
1370.75	7.778	241.044	83.816	59.503	10.247	10.503
1370.875	7.479	260.873	91.453	60.066	7.50999	8.78099
1371	5.26399	293.742	106.466	61.324	4.815	5.276
1371.125	3.812	299.308	117.316	62.346	3.959	4.732
1371.25	2.531	341.865	130.909	63.926	2.591	3.191
1371.375	2.132	389.143	137.072	64.855	1.521	1.71
1371.5	1.897	350.045	142.396	65.898	1.564	1.741
1371.625	1.901	324.128	143.158	66.315	1.564	1.741
1371.75	2.228	300.034	141.423	66.545	1.949	2.496
1371.875	2.594	289.093	138.792	66.516	2.12	2.647
1372	2.946	292.289	133.969	66.32	2.89	3.1
1372.125	3.128	303.507	131.138	66.166	3.018	3.614
1372.25	3.377	297.284	127.654	65.939	2.462	2.617
1372.375	3.496	296.516	126.548	65.821	3.147	3.221
1372.5	3.368	278.825	126.8	65.697	4.9	5.85
1372.625	3.264	290.298	128.035	65.629	3.65999	4.55099
1372.75	3.217	308.764	133.04	65.536	2.762	2.919
1372.875	3.137	305.232	138.04	65.455	2.804	2.919
1373	2.863	298.523	144.491	65.267	3.275	3.614
1373.125	2.964	289.311	145.542	65.039	3.66	4.551
1373.25	3.588	294.643	139.047	64.542	3.361	3.191
1373.375	3.996	282.731	130.434	64.152	4.43	4.249
1373.5	4.612	269.901	118.37	63.566	5.457	5.941
1373.625	5.367	276.028	113.335	63.243	4.858	5.064
1373.75	6.025	278.42	110.196	62.952	5.67	5.518
1373.875	5.679	272.82	110.824	62.956	5.542	5.971
1374	4.827	281.215	113.628	63.236	4.387	4.52
1374.125	4.318	280.151	115.865	63.54	4.558	4.792
1374.25	3.636	288.129	119.716	64.029	3.574	3.856
1374.375	3.465	291.13	121.153	64.297	3.104	3.221
1374.5	3.455	302.39	121.259	64.565	3.275	3.312
1374.625	3.592	295.713	121.834	64.635	3.446	3.463
1374.75	4.033	284.367	122.169	64.654	3.66	3.825
1374.875	4.186	282.013	122.308	64.655	3.361	3.402
1375	4.058	253.511	122.129	64.682	3.959	4.158
1375.125	3.842	270.368	120.134	64.718	3.703	3.886
1375.25	3.683	303.58	115.785	64.737	3.318	3.282
1375.375	3.787	300.86	112.733	64.721	4.002	4.03701
1375.5	4.258	258.531	109.928	64.649	4.259	4.43
1375.625	4.494	264.142	112.103	64.597	5.029	4.94401
1375.75	4.372	276.54	121.295	64.553	4.68699	5.60799
1375.875	4.087	298.216	128.652	64.554	3.189	3.554
1376	3.532	307.128	139.179	64.603	2.419	2.284
1376.125	3.177	293.877	144.285	64.621	2.462	2.284
1376.25	3.152	279.784	151.379	64.568	2.933	2.828
1376.375	3.496	276.282	158.185	64.449	3.018	2.919
1376.5	3.913	278.943	171.853	64.202	3.532	3.584
1376.625	4	277.984	182.703	64.048	4.002	3.946
1376.75	3.992	283.986	197.978	63.881	3.746	3.977
1376.875	3.875	287.218	205.549	63.828	3.617	3.735
1377	3.474	291.993	208.908	63.765	3.232	3.372
1377.125	3.288	286.393	204.336	63.671	3.147	3.282
1377.25	3.526	312.941	184.773	63.308	3.104	3.342
1377.375	3.752	309.142	164.778	62.895	3.275	3.07001
1377.5	4.132	251.63	135.534	62.079	5.2	6.001
1377.625	4.296	267.853	121.094	61.431	5.072	5.608
1377.75	4.639	280.977	110.318	60.266	5.457	5.971
1377.875	4.355	289.17	108.315	59.241	4.98599	5.54799
1378	3.875	287.553	107.248	56.946	4.302	4.49
1378.125	3.901	289.601	105.677	54.75	4.43	5.004
1378.25	4.453	277.007	100.679	50.454	3.917	3.916
1378.375	4.929	271.427	96.317	47.141	4.815	4.279
1378.5	5.846	284.729	88.9	41.928	5.927	4.49
1378.625	6.796	289.624	84.723	38.606	6.055	4.762
1378.75	7.428	289.718	81.18	34.438	5.97	4.732
1378.875	7.293	296.841	80.095	32.402	6.44	5.004
1379	7.199	302.805	79.547	30.4	6.398	5.215
1379.125	7.173	297.385	79.586	29.521	6.098	5.004
1379.25	7.477	300.053	79.539	28.641	6.483	5.095
1379.375	7.866	297.149	80.039	28.313	6.227	5.095
1379.5	8.064	310.086	81.064	28.29	6.44	5.125
1379.625	7.28	315.96	82.382	28.529	6.569	5.064
1379.75	6.509	308.517	85.748	28.951	6.013	4.823
1379.875	6.241	296.546	86.784	29.082	5.371	4.641
1380	5.778	281.883	85.053	28.834	4.772	4.007
1380.125	5.97	301.331	81.065	28.339	5.756	4.279
1380.25	7.45601	300.253	74.577	27.124	6.098	4.792
1380.375	8.751	307.301	72.434	26.222	6.78301	5.27601
1380.5	9.483	312.303	72.722	25.413	7.21	5.82
1380.625	9.372	314.219	74.825	25.638	7.082	5.608
1380.75	8.29	309.706	78.317	27.458	6.612	5.246
1380.875	7.467	310.064	81.098	29.699	6.44	5.246
1381	6.592	296.469	87.772	34.532	5.585	4.853
1381.125	6.002	289.222	93.549	38.575	5.628	4.611
1381.25	4.831	294.783	103.8	45.226	5.328	4.641
1381.375	4.289	304.26	110.818	49.581	4.34399	4.309
1381.5	3.463	355.713	118.607	55.337	2.548	2.496
1381.625	3.07	366.382	121.534	58.409	2.462	2.466
1381.75	2.955	329.313	121.296	61.623	2.505	2.375
1381.875	3.228	291.232	118.969	62.845	2.676	2.526
1382	3.693	226.089	113.671	63.73	3.66	3.614
1382.125	3.831	257.826	110.478	63.987	3.959	4.128
1382.25	3.737	293.946	111.249	64.24	3.104	3.1
1382.375	3.417	323.754	114.509	64.332	2.591	2.556
1382.5	2.891	374.319	118.965	64.217	2.291	2.315
1382.625	2.817	361.388	119.118	63.825	2.334	2.405
1382.75	3.238	287.959	112.238	62.769	2.591	2.587
1382.875	3.814	218.93	105.903	61.97	3.232	3.07
1383	4.656	253.181	99.959	61.08	4.173	3.402
1383.125	4.921	273.31	99.492	60.857	4.344	3.372
1383.25	4.463	293.752	104.41	61.107	3.27499	3.221
1383.375	3.825	307.982	108.52	61.654	2.591	2.466
1383.5	3.114	374.835	113.053	62.803	2.248	2.284
1383.625	2.916	348.218	114.55	63.528	2.377	2.375
1383.75	2.975	242.91	114.574	64.181	2.847	2.889
1383.875	3.323	261.532	112.936	64.278	2.89	2.859
1384	3.901	280.647	107.714	64.149	3.318	3.1
1384.125	4.022	276.836	104.207	63.998	4.045	3.795
1384.25	4.105	283.7	100.007	63.804	4.644	4.853
1384.375	4.356	287.239	98.66	63.718	4.002	4.007
1384.5	4.398	277.431	98.342	63.711	3.703	3.161
1384.625	4.316	274.121	98.129	63.815	4.943	4.853
1384.75	4.371	277.221	100.489	64.067	4.94299	4.91299
1384.875	4.495	284.438	103.13	64.28	4.088	3.856
1385	4.245	280.716	107.173	64.652	3.446	3.07
1385.125	3.976	272.848	110.288	64.939	3.574	3.282
1385.25	3.703	286.822	113.158	65.355	3.361	3.161
1385.375	3.607	304.479	114.873	65.586	2.762	2.496
1385.5	3.506	288.111	116.066	65.892	2.548	2.436
1385.625	3.52	270.165	116.169	66.084	2.719	2.526
1385.75	3.658	281.74	116.631	66.378	3.147	2.979
1385.875	3.703	266.434	116.56	66.56	3.147	3.07
1386	3.661	280.853	117.724	66.811	2.719	2.617
1386.125	3.551	293.407	118.676	66.969	2.591	2.556
1386.25	3.309	320.078	119.76	67.157	2.548	2.526
1386.375	3.222	324.907	120.44	67.24	2.548	2.466
1386.5	3.243	289.758	120.864	67.269	2.633	2.556
1386.625	3.3	293.839	120.353	67.248	2.633	2.556
1386.75	3.436	270.735	119.586	67.192	2.89	2.738
1386.875	3.526	280.934	120.403	67.153	2.976	2.798
1387	3.678	280.85	123.189	67.115	3.018	2.919
1387.125	3.671	285.371	125.365	67.088	2.933	2.798
1387.25	3.551	284.324	125.777	67.06	2.976	2.889
1387.375	3.532	297.147	124.395	67.022	2.804	2.707
1387.5	3.574	317.124	121.623	66.935	2.804	2.677
1387.625	3.589	287.848	119.321	66.871	2.976	2.859
1387.75	3.698	285.842	117.875	66.804	3.361	3.402
1387.875	3.764	294.571	117.564	66.795	3.275	3.312
1388	3.664	298.44	118.784	66.787	3.061	3.07
1388.125	3.489	300.632	120.792	66.747	2.847	2.828
1388.25	3.334	307.109	121.491	66.428	2.548	2.345
1388.375	3.267	327.019	120.437	65.859	2.633	2.315
1388.5	3.022	284.259	116.723	63.952	2.933	2.768
1388.625	3.036	283.896	111.611	61.704	3.147	3.251
1388.75	3.448	292.352	100.582	56.887	3.018	2.496
1388.875	3.814	281.522	92.476	53.008	3.403	2.556
1389	4.458	290.391	80.969	46.954	4.772	3.584
1389.125	5.23001	288.646	75.278	43.187	5.285	3.825
1389.25	7.50401	299.803	70.471	38.809	5.713	4.158
1389.375	8.97501	299.532	69.185	37.24	6.141	4.52
1389.5	11.66	291.104	68.761	37.349	7.039	5.034
1389.625	12.528	290.986	70.34	39.024	7.168	5.095
1389.75	10.106	299.788	77.872	43.337	6.74	5.215
1389.875	7.10299	307.231	86.5771	46.923	5.19999	4.73199
1390	4.44399	307.705	101.866	52.511	2.89	2.194
1390.125	3.443	294.43	109.977	55.969	2.676	2.073
1390.25	2.767	298.462	115.386	60.216	2.762	2.466
1390.375	2.867	283.585	113.841	62.178	2.847	2.345
1390.5	3.362	268.716	109.278	63.834	2.804	2.375
1390.625	3.631	274.577	107.056	64.313	3.104	2.436
1390.75	3.88	280.723	104.726	64.576	3.746	3.554
1390.875	3.963	276.331	105.974	64.615	3.703	3.433
1391	3.849	275.899	111.169	64.556	3.703	3.614
1391.125	3.719	282.979	114.634	64.458	3.617	3.523
1391.25	3.627	284.653	117.605	64.167	3.532	3.191
1391.375	3.615	286.93	116.273	63.838	3.532	3.312
1391.5	3.679	281.144	110.096	63.107	3.532	3.282
1391.625	3.779	277.515	105.805	62.49	3.617	3.191
1391.75	3.921	279.458	102.097	61.451	3.831	2.97901
1391.875	3.893	278.494	101.648	60.626	4.216	4.218
1392	3.739	298.031	103.345	58.901	4.344	4.369
1392.125	3.755	293.283	104.444	57.15	3.788	3.614
1392.25	3.972	277.658	101.816	53.41	3.831	3.705
1392.375	4.01	260.861	97.073	50.16	3.831	3.463
1392.5	4.298	250.694	88.173	44.341	4.302	3.282
1392.625	4.557	265.675	82.135	40.021	4.687	3.493
1392.75	4.801	273.795	74.974	33.404	4.729	3.614
1392.875	4.865	288.592	71.03	29.26	5.243	3.977
1393	5.143	289.892	66.088	23.746	5.029	3.674
1393.125	5.377	290.96	64.438	20.586	4.9	3.463
1393.25	5.587	301.514	63.059	16.5	5.371	3.674
1393.375	5.728	303.312	62.284	14.161	5.414	3.705
1393.5	5.876	298.369	62.247	11.137	5.585	3.765
1393.625	5.892	289.656	62.687	9.42499	5.67	3.825
1393.75	5.871	288.288	63.929	7.35299	5.67	4.037
1393.875	5.904	284.616	64.652	6.32399	5.799	4.007
1394	6.039	287.298	64.313	5.356	5.756	3.916
1394.125	6.163	292.224	63.767	5.138	5.628	3.795
1394.25	6.301	283.826	62.428	5.524	5.542	3.614
1394.375	6.555	285.077	61.438	6.36601	5.499	3.554
1394.5	7.169	302.411	61.979	8.67401	5.457	3.705
1394.625	7.459	304.971	63.774	11.01	5.499	3.674
1394.75	6.78799	305.243	69.012	15.436	5.285	3.402
1394.875	5.91	290.904	73.249	18.556	5.243	3.372
1395	5.455	279.707	77.382	22.673	5.285	3.584
1395.125	5.383	257.66	77.999	24.746	4.558	3.463
1395.25	5.518	288.532	76.722	26.725	4.986	3.312
1395.375	5.95301	293.279	74.579	27.217	5.371	3.674
1395.5	7.542	281.969	72.855	26.934	5.499	3.705
1395.625	7.952	275.832	73.064	26.436	5.457	3.705
1395.75	7.786	272.579	72.889	25.926	5.371	3.554
1395.875	7.515	271.889	73.387	25.935	5.371	3.584
1396	7.325	272.95	73.886	26.415	5.542	3.674
1396.125	7.329	280.78	73.745	27.01	5.628	3.765
1396.25	7.033	282.738	74.556	28.298	5.542	3.674
1396.375	6.948	280.894	75.14	29.466	5.542	3.705
1396.5	7.90101	270.201	76.209	31.874	5.2	3.523
1396.625	8.767	265.432	77.369	34.018	5.072	3.402
1396.75	8.09599	269.474	79.29	37.916	5.24301	3.342
1396.875	6.85799	272.702	81.281	40.612	5.713	3.584
1397	5.74799	278.429	85.53	44.027	5.02899	3.795
1397.125	5.02299	264.509	87.522	45.631	4.045	3.433
1397.25	4.03	257.829	87.468	47.029	4.216	3.463
1397.375	3.961	267.748	85.791	47.437	4.131	2.919
1397.5	4.548	284.574	83.585	47.607	4.687	3.402
1397.625	4.833	287.092	84.499	47.778	4.558	3.402
1397.75	4.983	288.525	88.579	48.783	4.815	4.218
1397.875	4.729	280.232	92.236	50.143	4.9	4.369
1398	4.243	276.49	98.179	52.992	4.772	4.369
1398.125	3.906	278.057	102.036	55.096	4.17299	4.128
1398.25	3.397	326.085	108.458	58.111	3.018	2.798
1398.375	3.007	380.251	113.355	59.874	2.334	2.254
1398.5	2.578	391.384	120.729	62.083	2.12	2.012
1398.625	2.426	364.556	124.168	63.227	1.992	1.952
1398.75	2.382	332.936	124.689	64.434	1.906	1.922
1398.875	2.424	337.707	123.579	64.945	1.821	1.831
1399	2.463	340.176	122.114	65.398	1.906	1.892
1399.125	2.479	308.706	121.524	65.594	2.163	2.073
1399.25	2.526	279.69	122.988	65.803	2.035	2.073
1399.375	2.546	301.218	124.19	65.906	2.077	2.164
1399.5	2.479	286.365	125.224	66.016	2.035	1.982
1399.625	2.419	299.636	125.091	66.059	2.077	2.073
1399.75	2.486	368.917	121.926	66.086	1.906	2.012
1399.875	2.608	348.44	119.719	66.076	1.863	1.892
1400	2.732	277.023	118.175	66.078	2.847	2.707
1400.125	2.825	254.165	118.192	66.115	2.847	2.828
1400.25	2.98	347.345	118.34	66.241	2.633	2.617
1400.375	2.947	368.232	118.12	66.379	2.505	2.496
1400.5	2.757	343.892	119.175	66.638	2.419	2.375
1400.625	2.683	344.684	121.361	66.836	2.248	2.133
1400.75	2.623	346.231	123.495	67.107	2.291	2.254
1400.875	2.61	319.953	123.079	67.257	2.291	2.224
1401	2.645	304.314	122.6	67.407	2.163	2.103
1401.125	2.653	311.907	122.411	67.505	2.12	2.103
1401.25	2.532	310.705	123.686	67.627	2.334	2.556
1401.375	2.511	332.599	124.572	67.705	2.163	2.254
1401.5	2.537	330.718	124.778	67.822	1.992	1.952
1401.625	2.488	316.954	126.273	67.903	2.077	2.254
1401.75	2.358	316.803	127.985	68.032	2.163	2.496
1401.875	2.419	358	127.708	68.117	2.035	2.164
1402	2.447	376.341	125.608	68.238	1.863	1.98201
1402.125	2.259	341.253	123.141	68.31	2.37701	3.13102
1402.25	2.142	301.883	120.42	68.4	1.99199	2.76799
1402.375	2.109	346.587	119.89	68.447	1.521	1.922
1402.5	2.147	342.762	119.939	68.496	1.692	1.982
1402.625	2.081	342.689	120.317	68.516	1.863	2.133
1402.75	2.337	306.251	121.176	68.531	2.505	2.70699
1402.875	2.452	330.231	121.305	68.534	2.12	2.194
1403	2.617	352.14	122.401	68.529	1.949	1.982
1403.125	2.595	364.37	123.907	68.52	1.821	1.771
1403.25	2.491	344.068	125.588	68.498	1.906	1.922
1403.375	2.421	314.998	125.639	68.478	2.077	2.073
1403.5	2.419	339.607	123.722	68.446	1.863	1.922
1403.625	2.493	332.347	122.846	68.427	1.863	2.012
1403.75	2.511	342.626	125.688	68.412	2.035	2.194
1403.875	2.437	318.316	129.742	68.418	2.334	2.436
1404	2.267	304.741	137.642	68.457	1.778	1.952
1404.125	2.239	304.486	144.059	68.506	1.863	2.012
1404.25	2.082	336.163	151.877	68.606	1.607	1.861
1404.375	2.078	362.506	156.564	68.686	1.607	1.922
1404.5	2.049	346.219	160.426	68.807	1.735	1.952
1404.625	2.081	341.897	157.763	68.88	1.863	2.103
1404.75	2.045	340.938	147.907	68.961	1.821	2.043
1404.875	1.983	332.88	139.865	68.989	1.65	1.952
1405	1.833	335.055	128.73	68.988	1.564	1.801
1405.125	1.873	360.44	123.298	68.958	1.821	1.892
1405.25	2.282	344.927	116.767	68.875	1.65	2.043
1405.375	2.395	315.101	113.416	68.798	2.59102	3.10003
1405.5	2.665	275.435	113.258	68.661	3.87398	5.72896
1405.625	2.653	324.164	116.303	68.559	2.46199	2.707
1405.75	2.353	326.814	122.436	68.401	1.778	2.16399
1405.875	1.989	369.56	124.615	68.3	1.607	1.71
1406	1.824	356.39	124.964	68.167	1.478	1.589
1406.125	1.839	334.945	124.115	68.099	1.778	1.741
1406.25	1.97	346.02	122.763	68.041	1.863	1.922
1406.375	2.119	344.455	122.544	68.037	1.906	2.012
1406.5	2.237	375.54	121.95	68.086	1.821	1.831
1406.625	2.238	344.243	121.293	68.152	1.821	1.861
1406.75	2.089	343.269	119.925	68.287	1.564	1.741
1406.875	1.99	386.26	119.252	68.391	1.564	1.68
1407	1.865	342.23	118.877	68.548	1.65	1.71
1407.125	1.884	314.768	117.431	68.644	1.564	1.741
1407.25	2.104	330.365	114.596	68.763	1.692	2.073
1407.375	2.217	312.807	113.351	68.822	2.035	2.556
1407.5	2.305	314.274	112.905	68.874	2.035	2.164
1407.625	2.169	344.993	114.313	68.884	1.906	2.012
1407.75	2.136	325.603	115.001	68.859	1.821	2.043
1407.875	2.257	335.163	113.157	68.815	1.906	2.103
1408	2.346	298.978	108.882	68.708	5.11404	5.30607
1408.125	2.369	252.383	107.478	68.613	9.905	12.347
1408.25	2.572	323.868	110.6	68.443	2.163	2.94899
1408.375	2.742	323.621	114.928	68.322	1.821	2.28399
1408.5	2.342	350.012	120.946	68.147	1.992	1.952
1408.625	2.239	334.837	123.85	68.047	2.163	2.133
1408.75	2.316	361.226	125.799	67.938	1.906	1.952
1408.875	2.39	339.615	126.014	67.897	1.821	1.861
1409	2.382	315.801	124.901	67.883	1.906	1.861
1409.125	2.362	329.084	122.714	67.9	1.949	1.982
1409.25	2.294	318.357	121.165	67.954	1.863	1.952
1409.375	2.252	357.914	121.844	68	1.692	1.741
1409.5	2.212	352.733	122.067	68.072	1.564	1.65
1409.625	2.318	330.353	121.172	68.116	1.692	1.831
1409.75	2.582	312.015	117.908	68.173	2.035	2.012
1409.875	2.622	294.155	116.382	68.2	2.248	2.284
1410	2.642	309.002	119.471	68.222	1.863	2.012
1410.125	2.533	363.248	123.272	68.219	1.564	1.589
