1300.5	1694.8205	35.0819	2.2898
1301	1695.575	39.13	2.276
1301.5	1696.328	39.7821	2.258
1302	1697.081	33.5505	2.2603
1302.5	1697.8355	28.59	2.3124
1303	1698.5886	25.0893	2.3174
1303.5	1699.3431	27.6386	2.2999
1304	1700.0976	32.8648	2.3097
1304.5	1700.8506	34.5668	2.258
1305	1701.6051	30.8899	2.286
1305.5	1702.3596	29.0593	2.3053
1306	1703.1142	27.6268	2.3129
1306.5	1703.8672	29.2133	2.323
1307	1704.6217	28.6809	2.339
1307.5	1705.3762	29.1384	2.326
1308	1706.1307	27.1153	2.3659
1308.5	1706.886	29.0673	2.3716
1309	1707.6413	30.877	2.3323
1309.5	1708.3958	28.8082	2.2935
1310	1709.1503	27.9661	2.3334
1310.5	1709.9058	27.9912	2.3076
1311	1710.6608	24.8487	2.3753
1311.5	1711.4154	26.573	2.3789
1312	1712.1714	23.3296	2.3703
1312.5	1712.9259	24.8442	2.3365
1313	1713.6819	27.5198	2.3216
1313.5	1714.4378	32.532	2.2684
1314	1715.1925	29.0848	2.3108
1314.5	1715.9485	31.0743	2.333
1315	1716.7045	29.2491	2.3088
1315.5	1717.4605	32.8291	2.2831
1316	1718.2166	33.5448	2.2435
1316.5	1718.9726	32.3451	2.2645
1317	1719.7286	28.8376	2.3237
1317.5	1720.4831	30.1197	2.354
1318	1721.2392	30.5694	2.3546
1318.5	1721.9937	27.106	2.357
1319	1722.7467	27.3308	2.3495
1319.5	1723.5012	25.9605	2.2915
1320	1724.2542	26.7456	2.3008
1320.5	1725.0057	26.6903	2.3078
1321	1725.7587	25.9444	2.282
1321.5	1726.5102	26.5339	2.2697
1322	1727.2617	27.9593	2.234
1322.5	1728.0125	26.537	2.181
1323	1728.7625	26.116	2.1335
1323.5	1729.5125	25.1565	2.1255
1324	1730.2617	24.1867	2.132
1324.5	1731.0102	25.1535	2.11
1325	1731.7587	27.4739	2.1289
1325.5	1732.5065	29.5712	2.1198
1326	1733.2542	26.0596	2.1213
1326.5	1734.0012	23.8433	2.1735
1327	1734.7476	25.082	2.2023
1327.5	1735.4946	26.6526	2.1666
1328	1736.2402	24.7884	2.1161
1328.5	1736.9857	27.0546	2.0946
1329	1737.7298	28.1137	2.0912
1329.5	1738.4738	26.6181	2.1187
1330	1739.2179	25.5561	2.0759
1330.5	1739.9619	24.0356	2.282
1331	1740.7045	24.2276	2.2702
1331.5	1741.447	32.5113	2.2751
1332	1742.1882	31.4482	2.3204
1332.5	1742.9307	28.7407	2.3533
1333	1743.6717	27.4866	2.2832
1333.5	1744.4128	28.6921	2.3298
1334	1745.1524	30.056	2.3128
1334.5	1745.8926	24.9655	2.3615
1335	1746.6315	28.4881	2.3273
1335.5	1747.3706	33.8664	2.2706
1336	1748.1092	29.858	2.3237
1336.5	1748.8471	29.0695	2.3515
1337	1749.5853	25.8334	2.3452
1337.5	1750.3221	22.4323	2.3652
1338	1751.0588	26.015	2.3561
1338.5	1751.7941	29.6937	2.3108
1339	1752.5309	27.5932	2.3497
1339.5	1753.2662	25.1979	2.3674
1340	1754	29.6856	2.3372
1340.5	1754.7338	35.7078	2.2506
1341	1755.4676	36.9467	2.2711
1341.5	1756.2015	37.0606	2.276
1342	1756.934	28.5224	2.3385
1342.5	1757.6666	27.6951	2.3653
1343	1758.3985	24.1213	2.3591
1343.5	1759.1302	25.3103	2.3351
1344	1759.8613	25.6184	2.353
1344.5	1760.5912	27.0711	2.2811
1345	1761.3221	25.8637	2.2722
1345.5	1762.0515	27.8246	2.2414
1346	1762.7799	27.9363	2.2333
1346.5	1763.5096	27.557	2.2454
1347	1764.2378	26.2272	2.2569
1347.5	1764.9647	26.0893	2.2565
1348	1765.6927	27.4239	2.1774
1348.5	1766.4195	27.0206	2.161
1349	1767.1462	27.4526	2.1107
1349.5	1767.8715	26.4686	2.1207
1350	1768.5968	27.0053	2.112
1350.5	1769.3221	27.5063	2.11
